scientificName,taxon,kingdom,earliestEventDate,earliestLocation,earliestISO3,totalCountryCount,habitat,establishmentMeans,isInvasiveAnywhere,originalDatabase
Phyllostachys flexuosa Riviere and C. Riviere; Phyllostachys flexuosa Rivière & C.Rivière,Phyllostachys flexuosa,Plantae,NA,NA,NA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Phyllostachys nigra (Lodd. ex Lindl.) Munro,Phyllostachys nigra,Plantae,1500,Italy,ITA,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Phyllostachys reticulata (Rupr.) K. Koch; Phyllostachys reticulata (Rupr.) K.Koch,Phyllostachys reticulata,Plantae,NA,NA,NA,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Physalis angulata L.,Physalis angulata,Plantae,1500,Italy,ITA,92,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; GRIIS ; J.Ganglo_BEN_2026; B.Shrestha_NPL_2026
Physalis lagascae Roem. & Schult.,Physalis lagascae,Plantae,1821,Indonesia,IDN,10,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Physalis peruviana L.,Physalis peruviana,Plantae,1500,Czechia,CZE,71,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Physalis philadelphica Lam.,Physalis philadelphica,Plantae,1800,Austria,AUT,29,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Physalis pruinosa L.,Physalis pruinosa,Plantae,1963,Indonesia,IDN,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Physalis pubescens L.,Physalis pubescens,Plantae,1500,Italy,ITA,14,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
Physalis viscosa L.,Physalis viscosa,Plantae,1500,Italy,ITA,5,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS; M.McGeoch_AUS_2025
"Physella acuta (Draparnaud, 1805)",Physella acuta,Animalia,1000,Austria,AUT,35,brackish; freshwater; marine; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
"Physignathus cocincinus Cuvier, 1829",Physignathus cocincinus,Animalia,2012,Belgium,BEL,3,freshwater; terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
Physocarpus opulifolius (L.) Maxim.,Physocarpus opulifolius,Plantae,1500,Switzerland,CHE,24,freshwater; terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
"Physomerus grossipes (Fabricius, 1794)",Physomerus grossipes,Animalia,1997,United States,USA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
Phytolacca acinosa Roxb.,Phytolacca acinosa,Plantae,1500,United Kingdom,GBR,16,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Phytolacca americana L.,Phytolacca americana,Plantae,17,Czech Republic,CZE,40,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
Phytolacca dioica L.,Phytolacca dioica,Plantae,1500,Italy,ITA,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Phytolacca icosandra L.,Phytolacca icosandra,Plantae,1866,Indonesia,IDN,10,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Phytoliriomyza jacarandae Steyskal and Spencer, 1978",Phytoliriomyza jacarandae,Animalia,1973,United States,USA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Phytomyza gymnostoma Loew; Phytomyza gymnostoma Loew, 1858",Phytomyza gymnostoma,Animalia,1993,Malta,MLT,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,EPPO Distribution; USRIIS; FirstRecords; GRIIS
"Piaractus brachypomus (Cuvier, 1818)",Piaractus brachypomus,Animalia,1980,Peru,PER,19,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Pica pica (Linnaeus, 1758)",Pica pica,Animalia,1590,Japan,JPN,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Picea abies (L.) Karst.; Picea abies (L.) H.Karst.,Picea abies,Plantae,1500,United Kingdom,GBR,14,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Picea engelmannii Parry ex Engelm.,Picea engelmannii,Plantae,1500,United Kingdom,GBR,6,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS; Artsdatabanken
Picea glauca (Moench) Voss,Picea glauca,Plantae,1500,United Kingdom,GBR,8,freshwater; terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS; Artsdatabanken
Picea lutzii Little,Picea lutzii,Plantae,1920,Norway,NOR,2,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS; Artsdatabanken
Picea sitchensis (Bong.) Carrière,Picea sitchensis,Plantae,1500,United Kingdom,GBR,10,freshwater; terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Picris hieracioides L.,Picris hieracioides,Plantae,1666,Sweden,SWE,10,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; M.McGeoch_AUS_2025
Pieris japonica (Thunb.) D. Don ex G. Don; Pieris japonica (Thunb.) D.Don ex G.Don,Pieris japonica,Plantae,1920,Australia,AUS,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; TrIAS; FirstRecords; GRIIS
"Pieris rapae (Linnaeus, 1758)",Pieris rapae,Animalia,1856,United States,USA,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Piezodorus oceanicus (Montrouzier, 1864)",Piezodorus oceanicus,Animalia,2006,United States,USA,1,terrestrial,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
Pilea microphylla (L.) Liebm.,Pilea microphylla,Plantae,1882,Singapore,SGP,36,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; TrIAS; FirstRecords; GRIIS
Pilea nummulariifolia (Sw.) Wedd.,Pilea nummulariifolia,Plantae,NA,NA,NA,7,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pilosella aurantiaca (L.) F.W.Schultz & Sch.Bip.,Pilosella aurantiaca,Plantae,1500,United Kingdom,GBR,11,freshwater; terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
Pilosella caespitosa (Dumort.) P.D.Sell & C.West,Pilosella caespitosa,Plantae,1500,United Kingdom,GBR,5,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS; Artsdatabanken
Pilosella officinarum Vaill.,Pilosella officinarum,Plantae,1878,New Zealand,NZL,5,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pilosella piloselloides (Vill.) Soják,Pilosella piloselloides,Plantae,NA,NA,NA,4,terrestrial,introduced,TRUE,TrIAS; GRIIS; FirstRecords
Pimenta dioica (L.) Merr.,Pimenta dioica,Plantae,1893,Nigeria,NGA,21,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Pimenta racemosa (Mill.) J.W. Moore; Pimenta racemosa (Mill.) J.W.Moore,Pimenta racemosa,Plantae,NA,NA,NA,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Pimephales promelas Rafinesque, 1820",Pimephales promelas,Animalia,199,United Kingdom,GBR,6,freshwater,introduced,TRUE,TrIAS; FirstRecords; GRIIS
Pimpinella saxifraga L.,Pimpinella saxifraga,Plantae,1947,Canada,CAN,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Pineus boerneri Annand, 1928",Pineus boerneri,Animalia,1939,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
"Pineus pini (Koch, 1857); Pineus pini (Goeze, 1778)",Pineus pini,Animalia,1920,Australia,AUS,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; GRIIS
"Pinnaspis aspidistrae (Signoret, 1869)",Pinnaspis aspidistrae,Animalia,1868,France,FRA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; GRIIS
Pinus canariensis C.Sm.,Pinus canariensis,Plantae,1500,Italy,ITA,5,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS
Pinus caribaea Morelet,Pinus caribaea,Plantae,1919,Nigeria,NGA,46,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Pinus contorta Douglas ex Loudon,Pinus contorta,Plantae,1500,United Kingdom,GBR,11,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS; Artsdatabanken
Pinus contorta subsp. contorta; Pinus contorta var. contorta,Pinus contorta contorta,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus contorta var. latifolia Engelm.,Pinus contorta latifolia,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus contorta var. murrayana (Balf.) Engelm.,Pinus contorta murrayana,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus elliottii Engelm.,Pinus elliottii,Plantae,1919,South Africa,ZAF,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Pinus glabra Walter,Pinus glabra,Plantae,1962,Brazil,BRA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus halepensis Mill.,Pinus halepensis,Plantae,1775,South Africa,ZAF,25,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Pinus luchuensis Mayr,Pinus luchuensis,Plantae,1899,Japan,JPN,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus merkusii Jungh. & de Vriese,Pinus merkusii,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus monticola Douglas ex D.Don,Pinus monticola,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus mugo Turra,Pinus mugo,Plantae,1500,United Kingdom,GBR,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; Artsdatabanken
Pinus mugo subsp. mugo,Pinus mugo mugo,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus mugo subsp. mugo x rotundata,Pinus mugo subsp. mugo x rotundata,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,GRIIS
Pinus muricata D.Don,Pinus muricata,Plantae,1843,Australia,AUS,3,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
Pinus nigra Arnold; Pinus nigra J.F.Arnold,Pinus nigra,Plantae,1500,Czechia,CZE,25,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Pinus oocarpa Schiede ex Schltdl.,Pinus oocarpa,Plantae,NA,NA,NA,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pinus patula Schiede ex Schltdl. and Cham.; Pinus patula Schiede ex Schltdl. & Cham.,Pinus patula,Plantae,1902,Zimbabwe,ZWE,29,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; B.Shrestha_NPL_2026
Pinus pinaster Aiton,Pinus pinaster,Plantae,1500,United Kingdom,GBR,21,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Pinus pinea L.,Pinus pinea,Plantae,1500,Portugal,PRT,14,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Pinus ponderosa Douglas ex C.Lawson,Pinus ponderosa,Plantae,1500,United Kingdom,GBR,11,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
Pinus radiata D. Don; Pinus radiata D.Don,Pinus radiata,Plantae,1500,United Kingdom,GBR,21,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Pinus roxburghii Sarg.,Pinus roxburghii,Plantae,1843,Australia,AUS,7,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Pinus strobus L.,Pinus strobus,Plantae,1500,Germany,DEU,22,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS; Artsdatabanken; InstytutOchronyPrzyrody
Pinus sylvestris L.,Pinus sylvestris,Plantae,1500,Ireland,IRL,12,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS
Pinus taeda L.,Pinus taeda,Plantae,1843,Australia,AUS,7,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Pinus thunbergii Parl.,Pinus thunbergii,Plantae,NA,NA,NA,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Pinus uncinata Ramond ex DC.,Pinus uncinata,Plantae,1860,Norway,NOR,6,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Pipa parva Ruthven & Gaige, 1923",Pipa parva,Animalia,1990,Venezuela,VEN,1,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
Piper aduncum L.,Piper aduncum,Plantae,1888,Indonesia,IDN,14,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Piper auritum Kunth,Piper auritum,Plantae,1950,United States,USA,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Piper betle L.,Piper betle,Plantae,1809,India,IND,7,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Piper peltatum L.,Piper peltatum,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Piper sarmentosum Roxb.,Piper sarmentosum,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Piptatherum miliaceum (L.) Coss.; Piptatherum miliaceum E.Fourn., 1866",Piptatherum miliaceum,Plantae,1500,Austria,AUT,5,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Piriqueta racemosa (Jacq.) Sweet,Piriqueta racemosa,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Piscicola geometra (Linnaeus, 1761)",Piscicola geometra,Animalia,NA,NA,NA,1,brackish; freshwater; marine,introduced,TRUE,GRIIS
"Pisidium amnicum (O.F.Müller, 1774)",Pisidium amnicum,Animalia,1897,United States,USA,1,brackish; freshwater,"introduced (alien, exotic, non-native, nonindigenous)",TRUE,USRIIS
"Pissodes castaneus (C.DeGeer, 1775)",Pissodes castaneus,Animalia,1960,Spain,ESP,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pistia stratiotes L.,Pistia stratiotes,Plantae,1500,Czechia,CZE,80,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; TrIAS; FirstRecords; GRIIS; GRIIS ; J.Ganglo_BEN_2026
Pithecellobium dulce (Roxb.) Benth.,Pithecellobium dulce,Plantae,1833,India,IND,70,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS; B.Shrestha_NPL_2026
Pittosporum tobira (Thunb.) W.T. Aiton; Pittosporum tobira (Murray) Aiton fil.,Pittosporum tobira,Plantae,1500,Italy,ITA,13,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Pittosporum undulatum Vent.,Pittosporum undulatum,Plantae,1500,Italy,ITA,16,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Pittosporum viridiflorum Sims,Pittosporum viridiflorum,Plantae,1862,Australia,AUS,4,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Pityrogramma calomelanos (L.) Link,Pityrogramma calomelanos,Plantae,1893,Indonesia,IDN,19,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
"Plagioscion squamosissimus (Heckel, 1840)",Plagioscion squamosissimus,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Planiliza haematocheila (Temminck & Schlegel, 1845)",Planiliza haematocheila,Animalia,1966,Russia,RUS,5,brackish; freshwater; marine,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Planococcus citri (Risso, 1913); Planococcus citri (Risso, 1813)",Planococcus citri,Animalia,1813,France,FRA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,"SINAS, DAISIE; USRIIS; GRIIS"
"Planococcus ficus (Signoret, 1875)",Planococcus ficus,Animalia,1990,United States,USA,2,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; GRIIS
"Planorbella duryi (Wetherby, 1879)",Planorbella duryi,Animalia,1968,Czechia,CZE,16,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
"Planorbella trivolvis (Say, 1817)",Planorbella trivolvis,Animalia,NA,NA,NA,2,freshwater,introduced,TRUE,FirstRecords; GRIIS
Plantago aristata Michx.,Plantago aristata,Plantae,1500,Slovakia,SVK,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Plantago asiatica L.,Plantago asiatica,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Plantago lanceolata L.,Plantago lanceolata,Plantae,1500,Sweden,SWE,37,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Plantago lanceolata var. lanceolata,Plantago lanceolata lanceolata,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Plantago major L.,Plantago major,Plantae,1826,South Africa,ZAF,47,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Plantago virginica L.,Plantago virginica,Plantae,1500,Italy,ITA,10,terrestrial,introduced,TRUE,DAISIE; FirstRecords; GRIIS; Artsdatabanken
Platanus ×hispanica Mill. ex Münchh.; Platanus × hispanica Mill. ex Münchh.,Platanus hispanica,Plantae,1500,Czechia,CZE,18,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
"Platybunus pinetorum (Koch, 1839)",Platybunus pinetorum,Animalia,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Platycerium bifurcatum (Cav.) C. Chr.; Platycerium bifurcatum (Cav.) C.Chr.,Platycerium bifurcatum,Plantae,1886,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Platydemus manokwari de Beauchamp, 1962; Platydemus manokwari Beauchamp, 1962",Platydemus manokwari,Animalia,1990,Japan,JPN,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,"GBIF, SINAS; USRIIS; GRIIS"
"Plecoglossus altivelis (Temminck & Schlegel, 1846)",Plecoglossus altivelis,Animalia,NA,NA,NA,2,brackish; freshwater; marine,introduced,TRUE,FirstRecords; GRIIS
Plecostachys serpyllifolia (P.J.Bergius) Hilliard and B.L.Burtt; Plecostachys serpyllifolia (P.J.Bergius) Hilliard & B.L.Burtt,Plecostachys serpyllifolia,Plantae,1984,Portugal,PRT,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Plectranthus ciliatus E.Mey.,Plectranthus ciliatus,Plantae,1950,New Zealand,NZL,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Plectranthus ecklonii Benth.,Plectranthus ecklonii,Plantae,1880,Australia,AUS,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Plectrochilus diabolicus (Myers, 1927)",Plectrochilus diabolicus,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Plectrochilus machadoi Miranda Ribeiro, 1917",Plectrochilus machadoi,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
"Plectrochilus wieneri (Pellegrin, 1909)",Plectrochilus wieneri,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
Pleioblastus argenteostriatus (Regel) Nakai,Pleioblastus argenteostriatus,Plantae,2011,Belgium,BEL,3,terrestrial,introduced,TRUE,TrIAS; FirstRecords; GRIIS
Pleioblastus distichus (Mitford) Nakai,Pleioblastus distichus,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pleioblastus gramineus (Bean) Nakai,Pleioblastus gramineus,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pleroma urvilleanum (DC.) P.J.F.Guim. & Michelang.,Pleroma urvilleanum,Plantae,1888,Australia,AUS,8,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Plestiodon japonicus (Peters, 1864)",Plestiodon japonicus,Animalia,2003,Japan,JPN,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Ploceus cucullatus (Statius Muller, 1776)",Ploceus cucullatus,Animalia,1512,Haiti,HTI,9,freshwater; terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Ploceus philippinus (Linnaeus, 1766)",Ploceus philippinus,Animalia,1987,Bahrain,BHR,3,freshwater; terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS
"Plodia interpunctella (Hubner, 1813); Plodia interpunctella (Hübner, 1813)",Plodia interpunctella,Animalia,1565,United States,USA,18,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Pluchea carolinensis (Jacq.) G. Don; Pluchea carolinensis (Jacq.) G.Don,Pluchea carolinensis,Plantae,1931,United States,USA,13,brackish; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Pluchea dioscoridis (L.) DC.,Pluchea dioscoridis,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pluchea × fosbergii Cooperr. & Galang,Pluchea fosbergii,Plantae,NA,NA,NA,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pluchea indica (L.) Less.,Pluchea indica,Plantae,1909,United States,USA,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Pluchea odorata (L.) Cass.,Pluchea odorata,Plantae,NA,NA,NA,3,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Pluchea sagittalis (Lam.) Cabrera,Pluchea sagittalis,Plantae,1994,China,CHN,1,terrestrial,introduced,TRUE,FirstRecords; GRIIS
Plumbago auriculata Lam.,Plumbago auriculata,Plantae,1500,Italy,ITA,17,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
"Plutella porrectella (Linnaeus, 1758); Plutella porrectella Linnaeus, 1758",Plutella porrectella,Animalia,1565,United States,USA,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
"Plutella xylostella (Linnaeus, 1758); Plutella xylostella (Linnaeus, 1767)",Plutella xylostella,Animalia,1854,United States,USA,6,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Poa annua L.,Poa annua,Plantae,1770,Australia,AUS,42,freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; AntarcticAliens; FirstRecords; GRIIS
Poa bulbosa L.,Poa bulbosa,Plantae,1893,Australia,AUS,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Poa compressa L.,Poa compressa,Plantae,20,China,CHN,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
Poa pratensis L.,Poa pratensis,Plantae,1770,Australia,AUS,11,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
Poa pratensis subsp. pratensis,Poa pratensis pratensis,Plantae,NA,NA,NA,2,terrestrial,introduced,TRUE,GRIIS
Poa supina Schrad.,Poa supina,Plantae,1904,Norway,NOR,4,terrestrial,introduced,TRUE,SINAS; FirstRecords; GRIIS; Artsdatabanken
Poa trivialis L.,Poa trivialis,Plantae,1770,Iceland,ISL,10,brackish; freshwater; terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,DAISIE; USRIIS; FirstRecords; GRIIS
Podachaenium eminens (Lag.) Sch.Bip. ex Baill.,Podachaenium eminens,Plantae,1918,Indonesia,IDN,2,terrestrial,introduced,TRUE,FirstRecords; GRIIS
"Podarcis muralis (Laurenti, 1768)",Podarcis muralis,Animalia,1874,Germany,DEU,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; TrIAS; FirstRecords; GRIIS; InstytutOchronyPrzyrody
"Podarcis siculus (Rafinesque-Schmaltz, 1810)",Podarcis siculus,Animalia,800,Spain,ESP,4,terrestrial,introduced,TRUE,DAISIE; TrIAS; FirstRecords; GRIIS
Podocarpus macrophyllus (Thunb.) Sweet,Podocarpus macrophyllus,Plantae,1888,Australia,AUS,3,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,SINAS; USRIIS; FirstRecords; GRIIS
"Podocnemis unifilis Troschel, 1848",Podocnemis unifilis,Animalia,NA,NA,NA,1,freshwater,introduced,TRUE,FirstRecords; GRIIS
Podranea ricasoliana (Tanfani) Sprague,Podranea ricasoliana,Plantae,1888,Australia,AUS,9,terrestrial,"introduced (alien, exotic, non-native, nonindigenous); introduced",TRUE,USRIIS; FirstRecords; GRIIS
